"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"737","RUIS","Radiant Utama Interinsco Tbk.","--S-2130000000A132------------","172","0","26 Apr 2024","0","174","170","170","-2","662100","113719400","158","68","173","13200","170","479400","770000000","770000000","303226000","0","0","0","0","0"
"738","RUNS","Global Sukses Solusi Tbk.","--U-3000000000I131------------","57","0","26 Apr 2024","0","58","55","57","0","6100","347600","9","22.4","57","1300","55","9700","983557875","983557875","0","0","0","0","0","0"
"739","SAFE","Steady Safe Tbk","--U-4100000000K132-E---------X","192","0","26 Apr 2024","0","193","190","193","1","522500","100806500","53","19.4","193","32300","190","500","615145012","615145012","38446563","0","0","0","0","0"
"740","SAGE","Saptausaha Gemilangindah Tbk.","--U-2130000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","1500","75000","8","50","50","74657500","0","0","8033263408","8033263408","1584962689","0","0","0","0","0"
"741","SAME","Sarana Meditama Metropolitan Tbk.","--U-1135000000F121------------","254","0","26 Apr 2024","0","256","248","250","-4","461800","115703600","78","479.8","250","269600","248","90800","17147132545","17147132545","3712173659","0","0","0","0","0"
"742","SAMF","Saraswanti Anugerah Makmur Tbk.","--U-1135000000B112------------","745","0","26 Apr 2024","0","755","735","750","5","69600","51864500","34","625","750","62400","735","6600","5125000000","5125000000","313137500","0","0","0","0","0"
"743","SAPX","Satria Antaran Prima Tbk.","--U-2130000000K211------------","700","0","26 Apr 2024","0","705","680","705","5","6300","4389500","27","282","705","1600","680","600","833333300","830113500","64499997","0","0","0","0","0"
"744","SATU","Kota Satu Properti Tbk.","--U-2130000000H111------------","154","0","26 Apr 2024","0","173","153","171","17","178396000","29224603800","21287","146.2","171","2292000","170","609100","1375000000","1375000000","358325000","1736700","4145100","0","0","0"
"745","SBAT","Sejahtera Bintang Abadi Textile Tbk.","--U-4100000000E413M--LS------X","2","0","26 Apr 2024","0","2","2","2","0","3310400","6620800","49","1.9","2","40963500","1","95238700","4752982378","4752982378","2448736521","0","0","0","0","0"
"746","SBMA","Surya Biru Murni Acetylene Tbk.","--U-2130000000B111------------","137","0","26 Apr 2024","0","140","133","137","0","1449700","196042500","217","76.1","137","53900","136","24800","929926282","929926282","279907811","11000","107900","0","0","0"
"747","SCCO","Supreme Cable Manufacturing & Commerce Tbk.","--U-1135000000C131------------","2120","0","26 Apr 2024","0","2130","2050","2100","-20","30500","63482000","66","5427.3","2100","500","2090","200","822333600","822333600","140125645","1300","0","0","0","0"
"748","SCMA","Surya Citra Media Tbk.","--S-1835MD6000E612------------","122","0","26 Apr 2024","0","123","117","117","-5","20585400","2450440800","1457","264.6","117","949400","116","2811400","73970569505","73970569505","18004436618","4258500","2092200","0","0","0"
"749","SCNP","Selaras Citra Nusantara Perkasa Tbk.","--U-4130000000E212-----------X","135","0","26 Apr 2024","0","135","135","135","0","1000","135000","2","122.7","135","118900","130","5300","2500000000","2500000000","111250000","0","0","0","0","0"
